sudokuID,name,numOfConstraints,result,totalTime,loop,backtrack,flip,unit
1,r9_c9_b9,27,SAT,0.2865920066833496,1,0,0,728
2,r9_c9_b9,27,SAT,0.29445981979370117,0,0,0,729
3,r9_c9_b9,27,SAT,0.3509640693664551,11,1,3,931
4,r9_c9_b9,27,SAT,0.31148791313171387,0,0,0,729
5,r9_c9_b9,27,SAT,0.30832719802856445,0,0,0,729
6,r9_c9_b9,27,SAT,0.3494400978088379,4,1,2,815
7,r9_c9_b9,27,SAT,0.3199489116668701,0,0,0,729
8,r9_c9_b9,27,SAT,0.32024407386779785,0,0,0,729
9,r9_c9_b9,27,SAT,0.32744717597961426,0,0,0,729
10,r9_c9_b9,27,SAT,0.33154797554016113,3,0,0,726
11,r9_c9_b9,27,SAT,0.9844250679016113,122,37,58,3442
12,r9_c9_b9,27,SAT,0.28443288803100586,0,0,0,729
13,r9_c9_b9,27,SAT,0.3080630302429199,2,0,1,799
14,r9_c9_b9,27,SAT,0.3016791343688965,5,0,1,742
15,r9_c9_b9,27,SAT,0.29682302474975586,2,0,0,727
16,r9_c9_b9,27,SAT,0.32281994819641113,9,1,3,823
17,r9_c9_b9,27,SAT,0.3334169387817383,0,0,0,729
18,r9_c9_b9,27,SAT,0.3612098693847656,0,0,0,729
19,r9_c9_b9,27,SAT,0.355968713760376,0,0,0,729
20,r9_c9_b9,27,SAT,0.29639196395874023,0,0,0,729
21,r9_c9_b9,27,SAT,0.31520581245422363,0,0,0,729
22,r9_c9_b9,27,SAT,0.3273138999938965,5,0,1,749
23,r9_c9_b9,27,SAT,0.5299341678619385,20,7,10,1433
24,r9_c9_b9,27,SAT,0.31344103813171387,0,0,0,729
25,r9_c9_b9,27,SAT,0.29953503608703613,2,0,0,727
26,r9_c9_b9,27,SAT,0.29758501052856445,2,0,0,727
27,r9_c9_b9,27,SAT,0.33618712425231934,1,0,0,728
28,r9_c9_b9,27,SAT,0.6287150382995605,45,14,20,1853
29,r9_c9_b9,27,SAT,0.35567212104797363,0,0,0,729
30,r9_c9_b9,27,SAT,0.320605993270874,0,0,0,729
31,r9_c9_b9,27,SAT,0.3243892192840576,1,0,0,728
32,r9_c9_b9,27,SAT,0.3287019729614258,0,0,0,729
33,r9_c9_b9,27,SAT,0.3106698989868164,2,0,0,727
34,r9_c9_b9,27,SAT,0.32663989067077637,0,0,0,729
35,r9_c9_b9,27,SAT,0.7734169960021973,60,18,28,2414
36,r9_c9_b9,27,SAT,2.0978140830993652,187,72,92,7116
37,r9_c9_b9,27,SAT,0.40709805488586426,1,0,0,728
38,r9_c9_b9,27,SAT,0.34538698196411133,1,0,0,728
39,r9_c9_b9,27,SAT,0.3941152095794678,0,0,0,729
40,r9_c9_b9,27,SAT,0.36545705795288086,9,2,3,816
41,r9_c9_b9,27,SAT,0.7035059928894043,58,15,25,2109
42,r9_c9_b9,27,SAT,0.3070640563964844,0,0,0,729
43,r9_c9_b9,27,SAT,0.32025909423828125,0,0,0,729
44,r9_c9_b9,27,SAT,0.4211249351501465,16,5,8,1151
45,r9_c9_b9,27,SAT,0.43221306800842285,23,6,9,1154
