sudokuID,name,result,totalTime,loop,backtrack,flip,unit
14,Dummy,SAT,1.064012050628662,5,0,1,749
14,RandomFalse,SAT,1.115492820739746,8,0,3,809
15,Random,SAT,1.1016581058502197,8,0,3,883
15,DLIS(True),SAT,1.2612838745117188,3,0,1,761
15,DLIS(False),SAT,1.7928659915924072,28,2,3,758
15,JW-OS,SAT,1.93168306350708,33,7,8,821
15,DLCS,SAT,2.0387401580810547,49,17,19,1055
15,Dummy,SAT,1.0358848571777344,2,0,0,727
15,RandomFalse,SAT,1.0813329219818115,4,0,1,793
16,Random,SAT,1.767693281173706,34,8,16,1530
16,DLIS(True),SAT,1.8148200511932373,20,5,9,1220
16,DLIS(False),SAT,5.315799951553345,259,113,117,3897
16,JW-OS,SAT,4.321161985397339,168,74,76,2771
16,DLCS,SAT,4.046689033508301,109,43,44,1975
16,Dummy,SAT,1.2639331817626953,9,1,3,894
16,RandomFalse,SAT,2.633932113647461,76,28,37,2586
17,Random,SAT,1.2678306102752686,0,0,0,729
17,DLIS(True),SAT,1.260941982269287,0,0,0,729
17,DLIS(False),SAT,1.660869836807251,0,0,0,729
17,JW-OS,SAT,1.7650878429412842,0,0,0,729
17,DLCS,SAT,1.5552098751068115,0,0,0,729
17,Dummy,SAT,0.9641809463500977,0,0,0,729
17,RandomFalse,SAT,0.950206995010376,0,0,0,729
18,Random,SAT,0.9656062126159668,0,0,0,729
18,DLIS(True),SAT,1.1411941051483154,0,0,0,729
18,DLIS(False),SAT,1.544475793838501,0,0,0,729
18,JW-OS,SAT,1.6466588973999023,0,0,0,729
18,DLCS,SAT,1.6150829792022705,0,0,0,729
18,Dummy,SAT,1.0153098106384277,0,0,0,729
18,RandomFalse,SAT,0.9740962982177734,0,0,0,729
19,Random,SAT,0.9663586616516113,0,0,0,729
19,DLIS(True),SAT,1.1586978435516357,0,0,0,729
19,DLIS(False),SAT,1.5313329696655273,0,0,0,729
19,JW-OS,SAT,1.597235918045044,0,0,0,729
19,DLCS,SAT,1.549454927444458,0,0,0,729
19,Dummy,SAT,0.9886090755462646,0,0,0,729
19,RandomFalse,SAT,0.9697120189666748,0,0,0,729
20,Random,SAT,1.1095402240753174,0,0,0,729
20,DLIS(True),SAT,1.1442749500274658,0,0,0,729
20,DLIS(False),SAT,1.5708301067352295,0,0,0,729
20,JW-OS,SAT,1.5902788639068604,0,0,0,729
20,DLCS,SAT,1.5509750843048096,0,0,0,729
20,Dummy,SAT,1.0311589241027832,0,0,0,729
20,RandomFalse,SAT,1.0832099914550781,0,0,0,729
21,Random,SAT,1.04603910446167,0,0,0,729
21,DLIS(True),SAT,1.2066521644592285,0,0,0,729
21,DLIS(False),SAT,1.7151811122894287,0,0,0,729
21,JW-OS,SAT,3.625361204147339,0,0,0,729
21,DLCS,SAT,3.556694984436035,0,0,0,729
21,Dummy,SAT,1.1240131855010986,0,0,0,729
21,RandomFalse,SAT,1.0143661499023438,0,0,0,729
22,Random,SAT,1.1667401790618896,4,0,2,759
22,DLIS(True),SAT,1.365408182144165,1,0,0,728
22,DLIS(False),SAT,2.777628183364868,33,8,9,859
22,JW-OS,SAT,4.569889068603516,40,17,18,1211
22,DLCS,SAT,2.3594491481781006,42,18,19,1167
22,Dummy,SAT,1.2863709926605225,5,0,1,759
22,RandomFalse,SAT,1.3015251159667969,4,0,0,725
23,Random,SAT,1.2138299942016602,16,2,7,1196
23,DLIS(True),SAT,1.2346818447113037,10,0,2,847
23,DLIS(False),SAT,6.108621835708618,345,150,156,5295
23,JW-OS,SAT,8.72748589515686,407,181,188,6212
23,DLCS,SAT,10.650103092193604,468,220,227,7527
23,Dummy,SAT,2.3158621788024902,32,10,16,1597
23,RandomFalse,SAT,1.9753057956695557,17,4,7,1177
24,Random,SAT,1.1558208465576172,0,0,0,729
24,DLIS(True),SAT,1.3694539070129395,0,0,0,729
24,DLIS(False),SAT,1.8431777954101562,0,0,0,729
24,JW-OS,SAT,1.9236817359924316,0,0,0,729
24,DLCS,SAT,1.694544792175293,0,0,0,729
24,Dummy,SAT,1.0748968124389648,0,0,0,729
24,RandomFalse,SAT,1.120527982711792,0,0,0,729
25,Random,SAT,1.1312940120697021,4,0,2,795
25,DLIS(True),SAT,1.2339351177215576,2,0,0,727
25,DLIS(False),SAT,1.7151908874511719,7,0,0,722
25,JW-OS,SAT,2.276427984237671,41,16,17,1099
25,DLCS,SAT,1.8253300189971924,7,0,0,722
25,Dummy,SAT,1.418722152709961,2,0,0,727
25,RandomFalse,SAT,1.257983922958374,3,0,1,749
26,Random,SAT,1.447530746459961,1,0,0,728
26,DLIS(True),SAT,1.406006097793579,4,0,0,725
26,DLIS(False),SAT,11.070783853530884,605,284,297,8735
26,JW-OS,SAT,10.786059856414795,497,236,246,7087
26,DLCS,SAT,9.317384958267212,524,249,260,7376
26,Dummy,SAT,0.994671106338501,2,0,0,727
26,RandomFalse,SAT,1.5922739505767822,38,11,16,1456
27,Random,SAT,1.2822363376617432,1,0,0,728
27,DLIS(True),SAT,1.7002460956573486,1,0,0,728
27,DLIS(False),SAT,2.1654388904571533,42,14,15,1146
27,JW-OS,SAT,2.4170219898223877,54,21,22,1215
27,DLCS,SAT,2.40044903755188,44,15,16,1120
27,Dummy,SAT,1.433568000793457,1,0,0,728
27,RandomFalse,SAT,2.1195740699768066,7,2,3,851
28,Random,SAT,4.43587589263916,80,18,40,3150
28,DLIS(True),SAT,4.169563055038452,69,21,32,2289
28,DLIS(False),SAT,71.63694715499878,3314,1594,1642,54201
28,JW-OS,SAT,85.57915115356445,3420,1659,1706,54474
28,DLCS,SAT,24.493510007858276,1019,484,499,17906
28,Dummy,SAT,1.6032471656799316,21,5,8,1159
28,RandomFalse,SAT,1.255492925643921,7,0,1,828
29,Random,SAT,1.492156744003296,0,0,0,729
29,DLIS(True),SAT,1.365873098373413,0,0,0,729
29,DLIS(False),SAT,1.7387990951538086,0,0,0,729
29,JW-OS,SAT,1.8201448917388916,0,0,0,729
29,DLCS,SAT,1.903306007385254,0,0,0,729
29,Dummy,SAT,1.213226079940796,0,0,0,729
29,RandomFalse,SAT,1.0894019603729248,0,0,0,729
30,Random,SAT,1.1367590427398682,0,0,0,729
30,DLIS(True),SAT,1.348618984222412,0,0,0,729
30,DLIS(False),SAT,1.957808017730713,0,0,0,729
30,JW-OS,SAT,2.243736743927002,0,0,0,729
30,DLCS,SAT,2.1469430923461914,0,0,0,729
30,Dummy,SAT,1.268975019454956,0,0,0,729
30,RandomFalse,SAT,1.1994349956512451,0,0,0,729
31,Random,SAT,1.3878200054168701,5,0,2,838
31,DLIS(True),SAT,1.5872972011566162,1,0,0,728
31,DLIS(False),SAT,2.308173656463623,36,13,14,1017
31,JW-OS,SAT,2.4931888580322266,34,13,14,1059
31,DLCS,SAT,1.938225269317627,26,7,8,901
31,Dummy,SAT,1.1255083084106445,1,0,0,728
31,RandomFalse,SAT,1.6642630100250244,10,0,3,840
32,Random,SAT,1.09393310546875,0,0,0,729
32,DLIS(True),SAT,1.3548460006713867,0,0,0,729
32,DLIS(False),SAT,1.8195929527282715,0,0,0,729
32,JW-OS,SAT,1.6907508373260498,0,0,0,729
32,DLCS,SAT,1.6180009841918945,0,0,0,729
32,Dummy,SAT,1.0501718521118164,0,0,0,729
32,RandomFalse,SAT,1.0337839126586914,0,0,0,729
33,Random,SAT,1.071375846862793,3,0,1,737
33,DLIS(True),SAT,1.2702019214630127,2,0,0,727
33,DLIS(False),SAT,1.846653938293457,35,12,13,916
33,JW-OS,SAT,2.2253928184509277,35,12,13,1006
33,DLCS,SAT,2.5837628841400146,38,15,16,1097
33,Dummy,SAT,1.0918629169464111,2,0,0,727
33,RandomFalse,SAT,1.0593278408050537,1,0,0,728
34,Random,SAT,1.0412590503692627,0,0,0,729
34,DLIS(True),SAT,1.1941750049591064,0,0,0,729
34,DLIS(False),SAT,1.6648619174957275,0,0,0,729
34,JW-OS,SAT,1.6975328922271729,0,0,0,729
34,DLCS,SAT,1.729658842086792,0,0,0,729
34,Dummy,SAT,1.0986270904541016,0,0,0,729
34,RandomFalse,SAT,1.0620121955871582,0,0,0,729
35,Random,SAT,1.1591479778289795,10,0,3,855
35,DLIS(True),SAT,1.320462942123413,5,0,1,820
35,DLIS(False),SAT,21.46341300010681,980,477,489,16343
35,JW-OS,SAT,17.6965069770813,768,370,383,13032
35,DLCS,SAT,15.362206935882568,792,380,393,12813
35,Dummy,SAT,1.1142349243164062,4,0,2,877
35,RandomFalse,SAT,1.3601000308990479,23,8,11,1179
36,Random,SAT,1.2638111114501953,8,0,2,1027
36,DLIS(True),SAT,1.6467499732971191,18,4,8,1146
36,DLIS(False),SAT,45.68791604042053,1515,729,749,27774
36,JW-OS,SAT,46.85341191291809,1870,900,927,33276
36,DLCS,SAT,33.31275177001953,1393,669,687,25024
36,Dummy,SAT,2.592345714569092,52,16,24,2343
36,RandomFalse,SAT,1.5969209671020508,25,6,11,1412
37,Random,SAT,1.0522210597991943,1,0,0,728
37,DLIS(True),SAT,1.225743055343628,1,0,0,728
37,DLIS(False),SAT,1.7344541549682617,9,1,2,757
37,JW-OS,SAT,1.822371244430542,13,3,4,788
37,DLCS,SAT,1.757416009902954,12,3,4,784
37,Dummy,SAT,1.2792079448699951,1,0,0,728
37,RandomFalse,SAT,1.2636749744415283,2,0,0,727
38,Random,SAT,1.9136438369750977,5,0,2,761
38,DLIS(True),SAT,1.9048948287963867,11,2,4,947
38,DLIS(False),SAT,3.85111927986145,155,71,75,2610
38,JW-OS,SAT,3.8560309410095215,137,63,66,2322
38,DLCS,SAT,3.637402296066284,119,55,57,2338
38,Dummy,SAT,1.0237421989440918,1,0,0,728
38,RandomFalse,SAT,1.0467760562896729,6,0,2,750
39,Random,SAT,1.0333900451660156,0,0,0,729
39,DLIS(True),SAT,1.210895299911499,0,0,0,729
39,DLIS(False),SAT,1.6625161170959473,0,0,0,729
39,JW-OS,SAT,1.9521801471710205,0,0,0,729
39,DLCS,SAT,1.822763204574585,0,0,0,729
39,Dummy,SAT,1.1100311279296875,0,0,0,729
39,RandomFalse,SAT,1.1048269271850586,0,0,0,729
40,Random,SAT,1.249640941619873,4,0,1,731
40,DLIS(True),SAT,1.2867710590362549,1,0,0,728
40,DLIS(False),SAT,3.2948009967803955,64,30,31,1903
40,JW-OS,SAT,3.451979875564575,70,33,34,1796
40,DLCS,SAT,2.9014389514923096,64,30,31,1672
40,Dummy,SAT,1.2045409679412842,9,2,3,859
40,RandomFalse,SAT,1.1416549682617188,3,0,0,726
41,Random,SAT,3.4719412326812744,83,21,40,3316
41,DLIS(True),SAT,4.500186920166016,122,41,59,3369
41,DLIS(False),SAT,94.26372981071472,4621,2223,2300,79016
41,JW-OS,SAT,86.5566291809082,3881,1867,1924,66924
41,DLCS,SAT,89.11205196380615,4460,2148,2219,73163
41,Dummy,SAT,1.572417974472046,23,2,7,1374
41,RandomFalse,SAT,2.3319249153137207,78,25,37,2491
42,Random,SAT,1.0267360210418701,0,0,0,729
42,DLIS(True),SAT,1.193450927734375,0,0,0,729
42,DLIS(False),SAT,1.575049877166748,0,0,0,729
42,JW-OS,SAT,1.824786901473999,0,0,0,729
42,DLCS,SAT,1.505781888961792,0,0,0,729
42,Dummy,SAT,0.9876821041107178,0,0,0,729
42,RandomFalse,SAT,0.979543924331665,0,0,0,729
43,Random,SAT,0.9519979953765869,0,0,0,729
43,DLIS(True),SAT,1.1448051929473877,0,0,0,729
43,DLIS(False),SAT,1.574172019958496,0,0,0,729
43,JW-OS,SAT,1.6402380466461182,0,0,0,729
43,DLCS,SAT,1.582519769668579,0,0,0,729
43,Dummy,SAT,0.9592850208282471,0,0,0,729
43,RandomFalse,SAT,0.9714879989624023,0,0,0,729
44,Random,SAT,1.0206120014190674,7,0,2,796
44,DLIS(True),SAT,1.454038143157959,10,3,5,1019
44,DLIS(False),SAT,2.40438175201416,64,27,28,1599
44,JW-OS,SAT,2.7068378925323486,67,28,29,1679
44,DLCS,SAT,2.474921941757202,70,29,30,1627
44,Dummy,SAT,1.2161731719970703,12,3,6,1036
44,RandomFalse,SAT,1.0724380016326904,7,1,3,821
45,Random,SAT,0.8856709003448486,1,0,0,728
45,DLIS(True),SAT,1.5839910507202148,22,5,9,1166
45,DLIS(False),SAT,2.80171799659729,147,56,59,2280
45,JW-OS,SAT,4.146327018737793,178,74,78,3034
45,DLCS,SAT,5.413369178771973,230,102,106,3775
45,Dummy,SAT,1.5449748039245605,35,10,15,1464
45,RandomFalse,SAT,1.7300457954406738,28,10,14,1716
46,Random,SAT,2.527737855911255,52,14,25,1994
46,DLIS(True),SAT,3.1756391525268555,43,15,20,1823
46,DLIS(False),SAT,13.529035091400146,566,268,276,8911
46,JW-OS,SAT,13.992390871047974,629,299,310,9463
46,DLCS,SAT,14.591564893722534,672,306,316,9832
