sudokuID,name,result,totalTime,loop,backtrack,flip,unit
20,DLIS(True),SAT,0.7904572486877441,0,0,0,729
20,DLIS(False),SAT,1.1321616172790527,0,0,0,729
20,JW-OS,SAT,1.0884358882904053,0,0,0,729
20,DLCS,SAT,1.2601406574249268,0,0,0,729
20,HERO,SAT,0.6627869606018066,0,0,0,729
21,DLIS(True),SAT,0.6571519374847412,0,0,0,729
21,DLIS(False),SAT,1.0103662014007568,0,0,0,729
21,JW-OS,SAT,1.129045009613037,0,0,0,729
21,DLCS,SAT,1.0655937194824219,0,0,0,729
21,HERO,SAT,0.654587984085083,0,0,0,729
22,DLIS(True),SAT,0.8505539894104004,6,1,2,812
22,DLIS(False),SAT,1.394061803817749,40,17,18,1198
22,JW-OS,SAT,1.579334020614624,54,23,25,1220
22,DLCS,SAT,1.6617069244384766,52,21,23,1346
22,HERO,SAT,0.7602970600128174,5,0,1,750
23,DLIS(True),SAT,1.3818020820617676,28,9,12,1346
23,DLIS(False),SAT,6.173723220825195,497,225,234,8226
23,JW-OS,SAT,6.470537900924683,421,189,196,6626
23,DLCS,SAT,6.848827838897705,492,227,235,8177
23,HERO,SAT,0.9999632835388184,25,8,12,1430
24,DLIS(True),SAT,0.6435933113098145,0,0,0,729
24,DLIS(False),SAT,0.9165229797363281,0,0,0,729
24,JW-OS,SAT,1.2627201080322266,0,0,0,729
24,DLCS,SAT,1.0958540439605713,0,0,0,729
24,HERO,SAT,0.6541337966918945,0,0,0,729
25,DLIS(True),SAT,0.8660867214202881,6,0,2,791
25,DLIS(False),SAT,1.2416481971740723,39,15,16,1057
25,JW-OS,SAT,1.592371940612793,53,21,23,1289
25,DLCS,SAT,1.1508526802062988,6,0,0,723
25,HERO,SAT,0.6265678405761719,2,0,0,727
26,DLIS(True),SAT,0.9738821983337402,14,1,4,933
26,DLIS(False),SAT,5.592414140701294,485,228,239,6937
26,JW-OS,SAT,5.249934196472168,387,181,190,5860
26,DLCS,SAT,5.724730730056763,581,275,288,8095
26,HERO,SAT,0.6969060897827148,2,0,0,727
27,DLIS(True),SAT,0.8436799049377441,2,0,1,765
27,DLIS(False),SAT,1.481119155883789,48,18,19,1213
27,JW-OS,SAT,1.4897971153259277,46,14,15,1165
27,DLCS,SAT,1.3732659816741943,43,12,13,997
27,HERO,SAT,0.7475342750549316,1,0,0,728
28,DLIS(True),SAT,0.9683010578155518,19,6,8,1224
28,DLIS(False),SAT,53.491188049316406,4798,2327,2392,78466
28,JW-OS,SAT,12.85159683227539,995,466,479,16603
28,DLCS,SAT,21.416141986846924,1840,871,893,31003
28,HERO,SAT,0.9284720420837402,49,14,20,1791
29,DLIS(True),SAT,0.6975569725036621,0,0,0,729
29,DLIS(False),SAT,0.9271230697631836,0,0,0,729
29,JW-OS,SAT,0.9785599708557129,0,0,0,729
29,DLCS,SAT,0.8806939125061035,0,0,0,729
29,HERO,SAT,0.5185821056365967,0,0,0,729
30,DLIS(True),SAT,0.6093261241912842,0,0,0,729
30,DLIS(False),SAT,0.9271659851074219,0,0,0,729
30,JW-OS,SAT,0.916837215423584,0,0,0,729
30,DLCS,SAT,0.8531930446624756,0,0,0,729
30,HERO,SAT,0.5171997547149658,0,0,0,729
31,DLIS(True),SAT,0.6689600944519043,1,0,0,728
31,DLIS(False),SAT,0.9982700347900391,30,10,11,906
31,JW-OS,SAT,0.7900769710540771,30,10,11,1010
31,DLCS,SAT,0.9593760967254639,27,6,7,878
31,HERO,SAT,0.5804798603057861,1,0,0,728
32,DLIS(True),SAT,0.7003920078277588,0,0,0,729
32,DLIS(False),SAT,0.8321359157562256,0,0,0,729
32,JW-OS,SAT,0.9179892539978027,0,0,0,729
32,DLCS,SAT,0.865959882736206,0,0,0,729
32,HERO,SAT,0.5413699150085449,0,0,0,729
33,DLIS(True),SAT,0.640470027923584,2,0,0,727
33,DLIS(False),SAT,1.02512788772583,34,13,14,1089
33,JW-OS,SAT,0.9728341102600098,36,13,14,1083
33,DLCS,SAT,0.9577956199645996,38,15,16,1100
33,HERO,SAT,0.5747768878936768,2,0,0,727
34,DLIS(True),SAT,0.6423919200897217,0,0,0,729
34,DLIS(False),SAT,0.790452241897583,0,0,0,729
34,JW-OS,SAT,0.9596858024597168,0,0,0,729
34,DLCS,SAT,0.8271908760070801,0,0,0,729
34,HERO,SAT,0.5648019313812256,0,0,0,729
35,DLIS(True),SAT,1.0173869132995605,29,8,11,1372
35,DLIS(False),SAT,7.90117073059082,688,331,342,11886
35,JW-OS,SAT,10.963105201721191,869,420,433,14518
35,DLCS,SAT,7.89100193977356,509,246,253,10128
35,HERO,SAT,1.149644136428833,28,6,12,1525
36,DLIS(True),SAT,1.8427128791809082,41,14,20,2297
36,DLIS(False),SAT,26.739815950393677,2196,1062,1091,40328
36,JW-OS,SAT,25.065852880477905,1476,709,731,28401
36,DLCS,SAT,23.23709511756897,1602,773,794,28953
36,HERO,SAT,1.483889102935791,54,16,26,2314
37,DLIS(True),SAT,0.797152042388916,2,0,1,760
37,DLIS(False),SAT,0.9516737461090088,12,2,3,756
37,JW-OS,SAT,1.1453227996826172,11,2,3,785
37,DLCS,SAT,1.0231609344482422,9,1,2,762
37,HERO,SAT,0.628258228302002,1,0,0,728
38,DLIS(True),SAT,0.6925492286682129,4,0,2,791
38,DLIS(False),SAT,1.925361156463623,132,59,62,2256
38,JW-OS,SAT,2.1710028648376465,118,54,56,2321
38,DLCS,SAT,2.0943679809570312,162,73,77,2571
38,HERO,SAT,0.6430871486663818,1,0,0,728
39,DLIS(True),SAT,0.6834979057312012,0,0,0,729
39,DLIS(False),SAT,1.0281274318695068,0,0,0,729
39,JW-OS,SAT,1.0602011680603027,0,0,0,729
39,DLCS,SAT,0.9863898754119873,0,0,0,729
39,HERO,SAT,0.5794999599456787,0,0,0,729
40,DLIS(True),SAT,0.649285078048706,3,0,0,726
40,DLIS(False),SAT,1.4998290538787842,66,31,32,1845
40,JW-OS,SAT,1.7790629863739014,64,30,31,1640
40,DLCS,SAT,1.735692024230957,60,28,29,1707
40,HERO,SAT,0.6472430229187012,9,2,3,845
41,DLIS(True),SAT,1.2493422031402588,34,10,14,1423
41,DLIS(False),SAT,44.24578928947449,3821,1836,1900,65010
41,JW-OS,SAT,45.99996900558472,3519,1699,1753,60388
41,DLCS,SAT,56.21238398551941,4086,1962,2027,69646
41,HERO,SAT,0.638983964920044,8,0,1,829
42,DLIS(True),SAT,0.6925780773162842,0,0,0,729
42,DLIS(False),SAT,0.9674811363220215,0,0,0,729
42,JW-OS,SAT,1.0018701553344727,0,0,0,729
42,DLCS,SAT,0.9139981269836426,0,0,0,729
42,HERO,SAT,0.5082969665527344,0,0,0,729
43,DLIS(True),SAT,0.6838212013244629,0,0,0,729
43,DLIS(False),SAT,0.9915018081665039,0,0,0,729
43,JW-OS,SAT,1.2000732421875,0,0,0,729
43,DLCS,SAT,1.085310935974121,0,0,0,729
43,HERO,SAT,0.6917870044708252,0,0,0,729
44,DLIS(True),SAT,0.7507331371307373,2,0,0,727
44,DLIS(False),SAT,1.936047077178955,66,27,28,1799
44,JW-OS,SAT,1.949824571609497,68,29,30,1672
44,DLCS,SAT,1.6541571617126465,82,35,37,1733
44,HERO,SAT,0.7012360095977783,10,2,5,987
45,DLIS(True),SAT,0.9757030010223389,22,7,8,1047
45,DLIS(False),SAT,2.046782970428467,103,41,43,1961
45,JW-OS,SAT,2.881085157394409,180,72,76,2774
45,DLCS,SAT,2.1258318424224854,125,47,50,2004
45,HERO,SAT,0.8702600002288818,30,7,13,1325
46,DLIS(True),SAT,0.8766019344329834,7,2,3,824
46,DLIS(False),SAT,8.539967060089111,714,333,344,11441
46,JW-OS,SAT,9.600510835647583,699,322,331,10871
46,DLCS,SAT,7.738948106765747,484,221,228,7485
46,HERO,SAT,0.6831188201904297,9,0,2,793
47,DLIS(True),SAT,0.7479379177093506,0,0,0,729
47,DLIS(False),SAT,0.9948198795318604,0,0,0,729
47,JW-OS,SAT,1.0308318138122559,0,0,0,729
